Unnamed: 0,timestamp,capacity_last_metric_bolt,capacity_elastic_search_bolt,pre_Message_dispatcher_bolt,check_message_bolt,message_dispatcher_bolt,metric_bolt,group_status_information_bolt,Real_time_merger_bolt
45683,2022-04-28 14:59:00,0.824,0.009,0.0069999999999999,0.342,0.475,0.647,0.665,0.002
45684,2022-04-28 15:00:00,0.822,0.009,0.0069999999999999,0.34,0.482,0.671,0.662,0.002
45685,2022-04-28 15:01:00,0.829,0.01,0.0069999999999999,0.346,0.475,0.658,0.659,0.002
45686,2022-04-28 15:02:00,0.838,0.011,0.0069999999999999,0.346,0.467,0.663,0.655,0.002
45687,2022-04-28 15:03:00,0.829,0.01,0.0069999999999999,0.348,0.461,0.664,0.653,0.002
45688,2022-04-28 15:04:00,0.829,0.009,0.008,0.348,0.465,0.652,0.661,0.002
45689,2022-04-28 15:05:00,0.831,0.009,0.008,0.353,0.467,0.662,0.672,0.002
45690,2022-04-28 15:06:00,0.829,0.01,0.008,0.35,0.462,0.657,0.669,0.002
45691,2022-04-28 15:07:00,0.829,0.01,0.008,0.353,0.467,0.642,0.68,0.002
45692,2022-04-28 15:08:00,0.829,0.011,0.008,0.354,0.465,0.656,0.68,0.002
45693,2022-04-28 15:09:00,0.834,0.011,0.008,0.362,0.472,0.663,0.675,0.002
45694,2022-04-28 15:10:00,0.827,0.01,0.008,0.362,0.462,0.663,0.666,0.002
45695,2022-04-28 15:11:00,0.831,0.009,0.008,0.361,0.494,0.662,0.669,0.002
45696,2022-04-28 15:12:00,0.834,0.01,0.008,0.349,0.492,0.663,0.678,0.002
45697,2022-04-28 15:13:00,0.841,0.01,0.0069999999999999,0.352,0.503,0.674,0.659,0.002
45698,2022-04-28 15:14:00,0.849,0.01,0.0069999999999999,0.354,0.515,0.674,0.653,0.002
45699,2022-04-28 15:15:00,0.834,0.01,0.0069999999999999,0.361,0.519,0.68,0.669,0.002
45700,2022-04-28 15:16:00,0.845,0.01,0.0069999999999999,0.359,0.512,0.676,0.668,0.002
45701,2022-04-28 15:17:00,0.867,0.011,0.0069999999999999,0.354,0.502,0.692,0.674,0.002
45702,2022-04-28 15:18:00,0.863,0.011,0.0069999999999999,0.364,0.492,0.724,0.667,0.002
45703,2022-04-28 15:19:00,0.858,0.011,0.0069999999999999,0.361,0.489,0.721,0.674,0.002
45704,2022-04-28 15:20:00,0.843,0.01,0.0069999999999999,0.344,0.488,0.702,0.675,0.002
45705,2022-04-28 15:21:00,0.832,0.011,0.006,0.348,0.471,0.702,0.671,0.002
45706,2022-04-28 15:22:00,0.841,0.008,0.0069999999999999,0.351,0.466,0.692,0.67,0.002
45707,2022-04-28 15:23:00,0.835,0.009,0.0069999999999999,0.347,0.465,0.691,0.676,0.002
45708,2022-04-28 15:24:00,0.85,0.009,0.0069999999999999,0.34,0.465,0.684,0.678,0.002
45709,2022-04-28 15:25:00,0.84,0.009,0.006,0.332,0.467,0.677,0.671,0.002
45710,2022-04-28 15:26:00,0.853,0.009,0.0069999999999999,0.338,0.479,0.667,0.681,0.002
45711,2022-04-28 15:27:00,0.851,0.009,0.0069999999999999,0.343,0.473,0.653,0.663,0.002
45712,2022-04-28 15:28:00,0.827,0.009,0.0069999999999999,0.344,0.472,0.664,0.688,0.002
45713,2022-04-28 15:29:00,0.834,0.01,0.0069999999999999,0.351,0.471,0.654,0.679,0.002
